,S.angustifolium,S.fallax,S.glomeratum,S.subglobosum,S.gramineum,S.x longifolium,S.emersum,S.rothertii,S.probatovae
Emer-2-1,,,,,,,4,,4
Long-3,,,,,,,,5,5
Long-1,,,,,,2,2,,
Emer-2-2,,,,,,2,,2,
Ang-1,,,,,,3,,,3
Emer-1-1,,,,,,,5,5,
Emer-1-2,1,,,,,,1,,
Long-2,1,,,,,,,1,
Glom-1,,2,2,,,,,,
Fal-1,1,,,,,,,,1
Gram-1,,,,,,,,,
Gram-2,,,,,2,,,,2
Natan-3,,,,,,,,,
Natan-4,,,,,,,,,
Sub-1,,,,,,,,,
